,Date,Time,Frequency,db
171,2024-07-30,16:39:12.664850,106764705.96,-74.94
172,2024-07-30,16:39:12.664850,106862745.18,-75.28
173,2024-07-30,16:39:12.664850,106960784.4,-91.42
174,2024-07-30,16:39:12.664850,107058823.62,-68.76
175,2024-07-30,16:39:12.664850,107156862.84,-66.66
176,2024-07-30,16:39:12.664850,107254902.06,-68.56
177,2024-07-30,16:39:12.664850,107352941.28,-70.89
178,2024-07-30,16:39:12.664850,107450980.5,-85.82
179,2024-07-30,16:39:12.664850,107549019.72,-81.63
180,2024-07-30,16:39:12.664850,107647058.94,-70.5
181,2024-07-30,16:39:12.664850,107745098.16,-69.58
182,2024-07-30,16:39:12.664850,107843137.38,-75.67
183,2024-07-30,16:39:12.664850,107941176.6,-75.35
184,2024-07-30,16:39:12.664850,108039215.82,-80.68
185,2024-07-30,16:39:12.664850,108137255.04,-74.93
186,2024-07-30,16:39:12.664850,108235294.26,-68.63
187,2024-07-30,16:39:12.664850,108333333.48,-69.61
188,2024-07-30,16:39:12.664850,108431372.7,-73.32
189,2024-07-30,16:39:12.664850,108529411.92,-70.61
190,2024-07-30,16:39:12.664850,108627451.14,-74.37
191,2024-07-30,16:39:12.664850,108725490.36,-76.87
192,2024-07-30,16:39:12.664850,108823529.58,-72.16
193,2024-07-30,16:39:12.664850,108921568.8,-72.54
194,2024-07-30,16:39:12.664850,109019608.02,-70.02
195,2024-07-30,16:39:12.664850,109117647.24,-72.48
196,2024-07-30,16:39:12.664850,109215686.46,-77.02
197,2024-07-30,16:39:12.664850,109313725.68,-74.57
198,2024-07-30,16:39:12.664850,109411764.9,-73.54
199,2024-07-30,16:39:12.664850,109509804.12,-84.01
200,2024-07-30,16:39:12.664850,109607843.34,-86.16
201,2024-07-30,16:39:12.664850,109705882.56,-78.95
202,2024-07-30,16:39:12.664850,109803921.78,-72.49
203,2024-07-30,16:39:12.664850,109901961.0,-68.98
