,Datetime,Frequency,db
127,2024-08-01 11:16:19.259670,90450980.5,-86.45
178,2024-08-01 11:16:19.259670,90450980.5,-76.6
229,2024-08-01 11:16:19.259670,90450980.5,-70.95
280,2024-08-01 11:16:19.259670,90450980.5,-68.48
331,2024-08-01 11:16:19.259670,90450980.5,-75.67
382,2024-08-01 11:16:19.259670,90450980.5,-73.63
26,2024-08-01 11:16:19.259670,90549019.72,-83.0
77,2024-08-01 11:16:19.259670,90549019.72,-70.05
128,2024-08-01 11:16:19.259670,90549019.72,-81.54
179,2024-08-01 11:16:19.259670,90549019.72,-71.85
230,2024-08-01 11:16:19.259670,90549019.72,-70.72
281,2024-08-01 11:16:19.259670,90549019.72,-74.65
332,2024-08-01 11:16:19.259670,90549019.72,-76.65
383,2024-08-01 11:16:19.259670,90549019.72,-72.87
27,2024-08-01 11:16:19.259670,90647058.94,-74.97
78,2024-08-01 11:16:19.259670,90647058.94,-75.29
129,2024-08-01 11:16:19.259670,90647058.94,-82.58
180,2024-08-01 11:16:19.259670,90647058.94,-71.53
231,2024-08-01 11:16:19.259670,90647058.94,-76.18
282,2024-08-01 11:16:19.259670,90647058.94,-80.72
333,2024-08-01 11:16:19.259670,90647058.94,-79.66
384,2024-08-01 11:16:19.259670,90647058.94,-88.41
28,2024-08-01 11:16:19.259670,90745098.16,-72.53
79,2024-08-01 11:16:19.259670,90745098.16,-74.61
130,2024-08-01 11:16:19.259670,90745098.16,-76.38
181,2024-08-01 11:16:19.259670,90745098.16,-77.68
232,2024-08-01 11:16:19.259670,90745098.16,-75.56
283,2024-08-01 11:16:19.259670,90745098.16,-86.89
334,2024-08-01 11:16:19.259670,90745098.16,-69.62
385,2024-08-01 11:16:19.259670,90745098.16,-72.23
29,2024-08-01 11:16:19.259670,90843137.38,-72.45
80,2024-08-01 11:16:19.259670,90843137.38,-77.98
131,2024-08-01 11:16:19.259670,90843137.38,-75.85
182,2024-08-01 11:16:19.259670,90843137.38,-74.52
233,2024-08-01 11:16:19.259670,90843137.38,-73.54
284,2024-08-01 11:16:19.259670,90843137.38,-93.42
335,2024-08-01 11:16:19.259670,90843137.38,-70.02
386,2024-08-01 11:16:19.259670,90843137.38,-74.41
30,2024-08-01 11:16:19.259670,90941176.6,-82.71
81,2024-08-01 11:16:19.259670,90941176.6,-66.33
132,2024-08-01 11:16:19.259670,90941176.6,-67.19
183,2024-08-01 11:16:19.259670,90941176.6,-66.64
234,2024-08-01 11:16:19.259670,90941176.6,-76.68
285,2024-08-01 11:16:19.259670,90941176.6,-70.88
336,2024-08-01 11:16:19.259670,90941176.6,-64.78
387,2024-08-01 11:16:19.259670,90941176.6,-71.88
31,2024-08-01 11:16:19.259670,91039215.82,-63.21
82,2024-08-01 11:16:19.259670,91039215.82,-63.04
133,2024-08-01 11:16:19.259670,91039215.82,-60.56
184,2024-08-01 11:16:19.259670,91039215.82,-62.65
235,2024-08-01 11:16:19.259670,91039215.82,-62.61
286,2024-08-01 11:16:19.259670,91039215.82,-62.19
337,2024-08-01 11:16:19.259670,91039215.82,-61.63
388,2024-08-01 11:16:19.259670,91039215.82,-62.23
32,2024-08-01 11:16:19.259670,91137255.04,-62.8
83,2024-08-01 11:16:19.259670,91137255.04,-70.67
134,2024-08-01 11:16:19.259670,91137255.04,-64.53
185,2024-08-01 11:16:19.259670,91137255.04,-66.62
236,2024-08-01 11:16:19.259670,91137255.04,-64.61
287,2024-08-01 11:16:19.259670,91137255.04,-63.72
338,2024-08-01 11:16:19.259670,91137255.04,-73.29
389,2024-08-01 11:16:19.259670,91137255.04,-60.38
33,2024-08-01 11:16:19.259670,91235294.26,-67.91
84,2024-08-01 11:16:19.259670,91235294.26,-106.3
135,2024-08-01 11:16:19.259670,91235294.26,-76.74
186,2024-08-01 11:16:19.259670,91235294.26,-77.78
237,2024-08-01 11:16:19.259670,91235294.26,-75.65
288,2024-08-01 11:16:19.259670,91235294.26,-74.97
339,2024-08-01 11:16:19.259670,91235294.26,-78.23
390,2024-08-01 11:16:19.259670,91235294.26,-73.05
34,2024-08-01 11:16:19.259670,91333333.48,-67.25
85,2024-08-01 11:16:19.259670,91333333.48,-72.95
136,2024-08-01 11:16:19.259670,91333333.48,-69.92
187,2024-08-01 11:16:19.259670,91333333.48,-68.63
238,2024-08-01 11:16:19.259670,91333333.48,-67.81
289,2024-08-01 11:16:19.259670,91333333.48,-68.09
340,2024-08-01 11:16:19.259670,91333333.48,-75.1
391,2024-08-01 11:16:19.259670,91333333.48,-84.45
35,2024-08-01 11:16:19.259670,91431372.7,-63.94
86,2024-08-01 11:16:19.259670,91431372.7,-64.54
137,2024-08-01 11:16:19.259670,91431372.7,-63.42
188,2024-08-01 11:16:19.259670,91431372.7,-65.71
239,2024-08-01 11:16:19.259670,91431372.7,-61.93
290,2024-08-01 11:16:19.259670,91431372.7,-63.48
341,2024-08-01 11:16:19.259670,91431372.7,-66.07
392,2024-08-01 11:16:19.259670,91431372.7,-63.28
36,2024-08-01 11:16:19.259670,91529411.92,-66.72
87,2024-08-01 11:16:19.259670,91529411.92,-65.35
138,2024-08-01 11:16:19.259670,91529411.92,-63.75
189,2024-08-01 11:16:19.259670,91529411.92,-73.8
240,2024-08-01 11:16:19.259670,91529411.92,-65.65
291,2024-08-01 11:16:19.259670,91529411.92,-64.91
342,2024-08-01 11:16:19.259670,91529411.92,-66.81
393,2024-08-01 11:16:19.259670,91529411.92,-61.4
37,2024-08-01 11:16:19.259670,91627451.14,-77.62
88,2024-08-01 11:16:19.259670,91627451.14,-74.15
139,2024-08-01 11:16:19.259670,91627451.14,-71.87
190,2024-08-01 11:16:19.259670,91627451.14,-75.03
241,2024-08-01 11:16:19.259670,91627451.14,-80.65
292,2024-08-01 11:16:19.259670,91627451.14,-73.7
343,2024-08-01 11:16:19.259670,91627451.14,-75.37
394,2024-08-01 11:16:19.259670,91627451.14,-65.33
38,2024-08-01 11:16:19.259670,91725490.36,-72.8
89,2024-08-01 11:16:19.259670,91725490.36,-83.66
140,2024-08-01 11:16:19.259670,91725490.36,-70.41
191,2024-08-01 11:16:19.259670,91725490.36,-76.62
242,2024-08-01 11:16:19.259670,91725490.36,-68.77
293,2024-08-01 11:16:19.259670,91725490.36,-85.04
344,2024-08-01 11:16:19.259670,91725490.36,-76.58
395,2024-08-01 11:16:19.259670,91725490.36,-72.49
39,2024-08-01 11:16:19.259670,91823529.58,-69.65
90,2024-08-01 11:16:19.259670,91823529.58,-72.38
141,2024-08-01 11:16:19.259670,91823529.58,-69.06
192,2024-08-01 11:16:19.259670,91823529.58,-74.85
243,2024-08-01 11:16:19.259670,91823529.58,-68.23
294,2024-08-01 11:16:19.259670,91823529.58,-76.93
345,2024-08-01 11:16:19.259670,91823529.58,-80.68
396,2024-08-01 11:16:19.259670,91823529.58,-81.96
40,2024-08-01 11:16:19.259670,91921568.8,-71.0
91,2024-08-01 11:16:19.259670,91921568.8,-70.27
142,2024-08-01 11:16:19.259670,91921568.8,-77.49
193,2024-08-01 11:16:19.259670,91921568.8,-72.03
244,2024-08-01 11:16:19.259670,91921568.8,-71.51
295,2024-08-01 11:16:19.259670,91921568.8,-77.47
346,2024-08-01 11:16:19.259670,91921568.8,-69.58
397,2024-08-01 11:16:19.259670,91921568.8,-85.65
41,2024-08-01 11:16:19.259670,92019608.02,-73.83
92,2024-08-01 11:16:19.259670,92019608.02,-72.08
143,2024-08-01 11:16:19.259670,92019608.02,-72.26
194,2024-08-01 11:16:19.259670,92019608.02,-84.51
245,2024-08-01 11:16:19.259670,92019608.02,-74.69
296,2024-08-01 11:16:19.259670,92019608.02,-88.74
347,2024-08-01 11:16:19.259670,92019608.02,-67.97
398,2024-08-01 11:16:19.259670,92019608.02,-74.4
42,2024-08-01 11:16:19.259670,92117647.24,-81.55
93,2024-08-01 11:16:19.259670,92117647.24,-79.09
144,2024-08-01 11:16:19.259670,92117647.24,-71.08
195,2024-08-01 11:16:19.259670,92117647.24,-71.46
246,2024-08-01 11:16:19.259670,92117647.24,-72.64
297,2024-08-01 11:16:19.259670,92117647.24,-83.96
348,2024-08-01 11:16:19.259670,92117647.24,-69.72
399,2024-08-01 11:16:19.259670,92117647.24,-72.31
43,2024-08-01 11:16:19.259670,92215686.46,-72.09
94,2024-08-01 11:16:19.259670,92215686.46,-76.54
145,2024-08-01 11:16:19.259670,92215686.46,-74.24
196,2024-08-01 11:16:19.259670,92215686.46,-70.64
247,2024-08-01 11:16:19.259670,92215686.46,-74.07
298,2024-08-01 11:16:19.259670,92215686.46,-75.65
349,2024-08-01 11:16:19.259670,92215686.46,-68.82
400,2024-08-01 11:16:19.259670,92215686.46,-69.79
44,2024-08-01 11:16:19.259670,92313725.68,-66.91
95,2024-08-01 11:16:19.259670,92313725.68,-72.04
146,2024-08-01 11:16:19.259670,92313725.68,-68.84
197,2024-08-01 11:16:19.259670,92313725.68,-77.53
248,2024-08-01 11:16:19.259670,92313725.68,-74.87
299,2024-08-01 11:16:19.259670,92313725.68,-77.23
350,2024-08-01 11:16:19.259670,92313725.68,-69.36
401,2024-08-01 11:16:19.259670,92313725.68,-71.3
45,2024-08-01 11:16:19.259670,92411764.9,-69.74
96,2024-08-01 11:16:19.259670,92411764.9,-68.46
147,2024-08-01 11:16:19.259670,92411764.9,-71.5
198,2024-08-01 11:16:19.259670,92411764.9,-77.52
249,2024-08-01 11:16:19.259670,92411764.9,-71.1
300,2024-08-01 11:16:19.259670,92411764.9,-72.71
351,2024-08-01 11:16:19.259670,92411764.9,-69.91
402,2024-08-01 11:16:19.259670,92411764.9,-79.15
46,2024-08-01 11:16:19.259670,92509804.12,-74.89
97,2024-08-01 11:16:19.259670,92509804.12,-72.28
148,2024-08-01 11:16:19.259670,92509804.12,-85.37
199,2024-08-01 11:16:19.259670,92509804.12,-69.12
250,2024-08-01 11:16:19.259670,92509804.12,-75.18
301,2024-08-01 11:16:19.259670,92509804.12,-69.29
352,2024-08-01 11:16:19.259670,92509804.12,-74.45
403,2024-08-01 11:16:19.259670,92509804.12,-76.99
47,2024-08-01 11:16:19.259670,92607843.34,-69.16
98,2024-08-01 11:16:19.259670,92607843.34,-87.01
149,2024-08-01 11:16:19.259670,92607843.34,-71.64
200,2024-08-01 11:16:19.259670,92607843.34,-68.61
251,2024-08-01 11:16:19.259670,92607843.34,-79.06
302,2024-08-01 11:16:19.259670,92607843.34,-72.15
353,2024-08-01 11:16:19.259670,92607843.34,-83.51
404,2024-08-01 11:16:19.259670,92607843.34,-78.54
48,2024-08-01 11:16:19.259670,92705882.56,-66.58
99,2024-08-01 11:16:19.259670,92705882.56,-69.17
150,2024-08-01 11:16:19.259670,92705882.56,-72.25
201,2024-08-01 11:16:19.259670,92705882.56,-70.91
252,2024-08-01 11:16:19.259670,92705882.56,-75.39
303,2024-08-01 11:16:19.259670,92705882.56,-73.72
354,2024-08-01 11:16:19.259670,92705882.56,-77.72
405,2024-08-01 11:16:19.259670,92705882.56,-77.2
49,2024-08-01 11:16:19.259670,92803921.78,-64.5
100,2024-08-01 11:16:19.259670,92803921.78,-67.29
151,2024-08-01 11:16:19.259670,92803921.78,-77.05
202,2024-08-01 11:16:19.259670,92803921.78,-74.86
253,2024-08-01 11:16:19.259670,92803921.78,-72.18
304,2024-08-01 11:16:19.259670,92803921.78,-70.23
355,2024-08-01 11:16:19.259670,92803921.78,-79.66
406,2024-08-01 11:16:19.259670,92803921.78,-72.98
50,2024-08-01 11:16:19.259670,92901961.0,-69.4
101,2024-08-01 11:16:19.259670,92901961.0,-74.6
152,2024-08-01 11:16:19.259670,92901961.0,-76.95
203,2024-08-01 11:16:19.259670,92901961.0,-76.59
254,2024-08-01 11:16:19.259670,92901961.0,-78.59
305,2024-08-01 11:16:19.259670,92901961.0,-72.57
356,2024-08-01 11:16:19.259670,92901961.0,-72.57
407,2024-08-01 11:16:19.259670,92901961.0,-77.55
2550,2024-08-01 11:16:19.259670,93000000.0,-69.58
2601,2024-08-01 11:16:19.259670,93000000.0,-81.03
2652,2024-08-01 11:16:19.259670,93000000.0,-76.49
2703,2024-08-01 11:16:19.259670,93000000.0,-74.9
2754,2024-08-01 11:16:19.259670,93000000.0,-72.57
2805,2024-08-01 11:16:19.259670,93000000.0,-70.41
2856,2024-08-01 11:16:19.259670,93000000.0,-81.35
2907,2024-08-01 11:16:19.259670,93000000.0,-87.56
2551,2024-08-01 11:16:19.259670,93098039.22,-70.94
2602,2024-08-01 11:16:19.259670,93098039.22,-88.07
2653,2024-08-01 11:16:19.259670,93098039.22,-73.26
2704,2024-08-01 11:16:19.259670,93098039.22,-74.65
2755,2024-08-01 11:16:19.259670,93098039.22,-76.66
2806,2024-08-01 11:16:19.259670,93098039.22,-74.48
2857,2024-08-01 11:16:19.259670,93098039.22,-67.0
2908,2024-08-01 11:16:19.259670,93098039.22,-75.68
2552,2024-08-01 11:16:19.259670,93196078.44,-60.87
2603,2024-08-01 11:16:19.259670,93196078.44,-62.87
2654,2024-08-01 11:16:19.259670,93196078.44,-62.43
2705,2024-08-01 11:16:19.259670,93196078.44,-65.01
2756,2024-08-01 11:16:19.259670,93196078.44,-64.55
2807,2024-08-01 11:16:19.259670,93196078.44,-63.1
2858,2024-08-01 11:16:19.259670,93196078.44,-59.11
2909,2024-08-01 11:16:19.259670,93196078.44,-65.04
2553,2024-08-01 11:16:19.259670,93294117.66,-60.03
2604,2024-08-01 11:16:19.259670,93294117.66,-60.33
2655,2024-08-01 11:16:19.259670,93294117.66,-62.65
2706,2024-08-01 11:16:19.259670,93294117.66,-63.2
2757,2024-08-01 11:16:19.259670,93294117.66,-60.61
2808,2024-08-01 11:16:19.259670,93294117.66,-68.93
2859,2024-08-01 11:16:19.259670,93294117.66,-64.08
2910,2024-08-01 11:16:19.259670,93294117.66,-61.08
2554,2024-08-01 11:16:19.259670,93392156.88,-70.11
2605,2024-08-01 11:16:19.259670,93392156.88,-69.34
2656,2024-08-01 11:16:19.259670,93392156.88,-68.75
2707,2024-08-01 11:16:19.259670,93392156.88,-75.99
2758,2024-08-01 11:16:19.259670,93392156.88,-75.84
2809,2024-08-01 11:16:19.259670,93392156.88,-67.23
2860,2024-08-01 11:16:19.259670,93392156.88,-82.48
2911,2024-08-01 11:16:19.259670,93392156.88,-66.77
2555,2024-08-01 11:16:19.259670,93490196.1,-86.43
2606,2024-08-01 11:16:19.259670,93490196.1,-76.49
2657,2024-08-01 11:16:19.259670,93490196.1,-81.39
2708,2024-08-01 11:16:19.259670,93490196.1,-82.03
2759,2024-08-01 11:16:19.259670,93490196.1,-71.41
2810,2024-08-01 11:16:19.259670,93490196.1,-72.86
2861,2024-08-01 11:16:19.259670,93490196.1,-83.09
2912,2024-08-01 11:16:19.259670,93490196.1,-75.84
2556,2024-08-01 11:16:19.259670,93588235.32,-76.62
2607,2024-08-01 11:16:19.259670,93588235.32,-72.53
2658,2024-08-01 11:16:19.259670,93588235.32,-71.81
2709,2024-08-01 11:16:19.259670,93588235.32,-74.56
2760,2024-08-01 11:16:19.259670,93588235.32,-81.68
2811,2024-08-01 11:16:19.259670,93588235.32,-78.78
2862,2024-08-01 11:16:19.259670,93588235.32,-72.46
2913,2024-08-01 11:16:19.259670,93588235.32,-72.87
2557,2024-08-01 11:16:19.259670,93686274.54,-70.08
2608,2024-08-01 11:16:19.259670,93686274.54,-74.61
2659,2024-08-01 11:16:19.259670,93686274.54,-71.5
2710,2024-08-01 11:16:19.259670,93686274.54,-80.41
2761,2024-08-01 11:16:19.259670,93686274.54,-76.62
2812,2024-08-01 11:16:19.259670,93686274.54,-76.51
2863,2024-08-01 11:16:19.259670,93686274.54,-68.67
2914,2024-08-01 11:16:19.259670,93686274.54,-77.44
2558,2024-08-01 11:16:19.259670,93784313.76,-67.27
2609,2024-08-01 11:16:19.259670,93784313.76,-74.39
2660,2024-08-01 11:16:19.259670,93784313.76,-83.98
2711,2024-08-01 11:16:19.259670,93784313.76,-81.04
2762,2024-08-01 11:16:19.259670,93784313.76,-72.18
2813,2024-08-01 11:16:19.259670,93784313.76,-77.32
2864,2024-08-01 11:16:19.259670,93784313.76,-70.92
